2022-06-13 11:06:339 INFO  NewAccountFormPage :115 - enter phone number[[ChromeDriver: chrome on WINDOWS (035a97b5df41a38333ac571dbf9eb578)] -> xpath: //input[@name='account.phone']]
2022-06-16 11:06:689 INFO  BasePage :30 - Launching Chrome Browser 
2022-06-16 11:06:513 INFO  BasePage :30 - Launching Chrome Browser 
2022-06-16 11:06:788 INFO  HomePage :19 - clicking on enter the store Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Enter the Store')]'
2022-06-16 11:06:827 INFO  ActionPage :21 - getting text from link[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-16 11:06:81 INFO  ActionPage :27 - click on sign in tab[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-16 11:06:113 INFO  LoginPage :26 - getting Register now text[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //a[contains(text(),'Register Now!')]]
2022-06-16 11:06:347 INFO  LoginPage :32 - click on register now tabProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Register Now!')]'
2022-06-16 11:06:382 INFO  NewAccountFormPage :74 - getting user information text[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //h3[contains(text(),'User Information')]]
2022-06-16 11:06:593 INFO  NewAccountFormPage :82 - enter user id [[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //input[@name='username']]
2022-06-16 11:06:767 INFO  NewAccountFormPage :89 - enering password[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //input[@name='password']]
2022-06-16 11:06:913 INFO  NewAccountFormPage :95 - entering repeat password[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //input[@name='repeatedPassword']]
2022-06-16 11:06:41 INFO  NewAccountFormPage :100 - entering first name[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //input[@name='account.firstName']]
2022-06-16 11:06:160 INFO  NewAccountFormPage :105 - entering last name[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //input[@name='account.lastName']]
2022-06-16 11:06:267 INFO  NewAccountFormPage :110 - enter email address[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //input[@name='account.email']]
2022-06-16 11:06:395 INFO  NewAccountFormPage :115 - enter phone number[[ChromeDriver: chrome on WINDOWS (2c69ede0b55d79d7283cf5a0eecd00ec)] -> xpath: //input[@name='account.phone']]
2022-06-22 12:06:265 INFO  BasePage :30 - Launching Chrome Browser 
2022-06-22 12:06:922 INFO  HomePage :19 - clicking on enter the store Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Enter the Store')]'
2022-06-22 12:06:947 INFO  ActionPage :21 - getting text from link[[ChromeDriver: chrome on WINDOWS (4c1fa3f2442821202986adf9a1fe089a)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-22 12:06:174 INFO  ActionPage :27 - click on sign in tab[[ChromeDriver: chrome on WINDOWS (4c1fa3f2442821202986adf9a1fe089a)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-22 12:06:198 INFO  LoginPage :26 - getting Register now text[[ChromeDriver: chrome on WINDOWS (4c1fa3f2442821202986adf9a1fe089a)] -> xpath: //a[contains(text(),'Register Now!')]]
2022-06-22 12:06:427 INFO  LoginPage :32 - click on register now tabProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Register Now!')]'
